ord,LATITUDE,LONGITUDE,ALTITUDE,VEHICLE_ID,BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,AIR_INTAKE_TEMP,SPEED,SHORT.TERM.FUEL.TRIM.BANK.1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TIMING_ADVANCE,EQUIV_RATIO
1,29.998426,31.252971,42,control1,100,95,"56,10","43,10",4,816,39,"4,73",34,,"0,80",00:45:33,"21,20",MIL is OFF0 codes,"52,90","1,00"
2,29.9983295405,31.2552721909,42,control1,100,95,"56,10","42,00",4,807,37,"4,73",34,0,"0,80",00:45:37,"21,60",MIL is OFF0 codes,"52,50","1,00"
3,29.9982330811,31.2575733818,44,control1,100,94,"56,10","50,60",4,1559,37,"11,51",32,9,"-6,20",00:45:41,"29,80",MIL is OFF0 codes,"56,90","1,00"
4,29.9981366216,31.2598745726,41,control1,100,93,"56,90","41,20",4,1692,46,"10,29",32,10,"3,10",00:45:45,"29,00",MIL is OFF0 codes,"71,80","1,00"
5,29.9980401622,31.2621757635,46,control1,100,91,"56,90","55,70",4,863,52,"7,25",32,11,"4,70",00:45:49,"25,90",MIL is OFF0 codes,"58,00","1,00"
6,29.9979437027,31.2644769544,47,control1,,90,"57,30","69,80",4,955,66,"9,2",32,8,"0,80",00:45:53,"27,50",MIL is OFF0 codes,"60,40","1,00"
7,29.9978472432,31.2667781453,49,control1,100,90,"58,00","26,30",4,777,51,"9,39",32,9,"2,30",00:45:57,"29,80",MIL is OFF0 codes,"46,30","1,00"
8,29.9977507838,31.2690793361,51,control1,100,90,"59,20","47,10",4,1549,41,,32,13,"-7,80",00:46:01,"29,40",MIL is OFF0 codes,"69,00","1,00"
9,29.9976543243,31.271380527,52,control1,100,89,"60,00","49,40",4,2106,43,"16,1",32,12,"1,60",00:46:05,"31,80",MIL is OFF0 codes,"70,60","1,00"
10,29.9975578649,31.2736817179,52,control1,100,89,"60,00","62,40",4,1080,53,"9,48",32,15,"-1,60",00:46:09,"28,20",MIL is OFF0 codes,"62,00","1,00"
11,29.9974614054,31.2759829088,53,control1,100,89,"60,40","61,20",4,1384,50,"12,41",31,20,"-3,90",00:46:13,"30,20",MIL is OFF0 codes,"65,90","1,00"
12,29.9973649459,31.2782840997,54,control1,100,89,"60,80","56,50",4,1727,37,"14,34",32,18,"-2,30",00:46:17,"31,00",MIL is OFF0 codes,"69,00","1,00"
13,29.9972684865,31.2805852905,54,control1,100,89,"60,40","61,20",4,934,54,"8,45",32,20,"3,90",00:46:21,"27,10",MIL is OFF0 codes,"60,40","1,00"
14,29.997172027,31.2828864814,54,control1,100,89,"60,00","63,50",4,1040,49,"9,5",32,23,"3,90",00:46:25,"28,20",MIL is OFF0 codes,"61,20","1,00"
15,29.9970755676,31.2851876723,53,control1,100,89,"59,60","57,30",4,1204,48,"10,11",31,28,"-0,80",00:46:29,"28,60",MIL is OFF0 codes,"63,10","1,00"
16,29.9969791081,31.2874888632,53,control1,100,89,"59,60","54,10",4,1464,20,"11,63",31,33,"4,70",00:46:33,"29,80",MIL is OFF0 codes,"67,80","1,00"
17,29.9968826486,31.2897900541,52,control1,100,89,"58,80","20,80",4,1084,21,"3,67",33,,"6,20",00:46:37,"19,20",MIL is OFF0 codes,"58,80","1,00"
18,29.9967861892,31.2920912449,46,control1,100,88,"58,40","21,60",4,1098,20,"3,81",33,34,"-0,80",00:46:41,"19,20",MIL is OFF0 codes,"56,90","1,00"
19,29.9966897297,31.2943924358,46,control1,100,85,"56,50","38,00",4,1486,31,"8,33",32,31,"4,70",00:47:06,"26,70",MIL is OFF0 codes,"71,00","1,00"
20,29.9965932703,31.2966936267,45,control1,100,85,"56,50","36,90",4,1569,27,"8,52",32,32,"0,80",00:47:10,"27,10",MIL is OFF0 codes,"72,20","1,00"
21,29.9964968108,31.2989948176,45,control1,100,84,"56,10","30,20",4,1579,28,"7,09",32,32,"-3,90",00:47:14,"25,50",MIL is OFF0 codes,"73,70","1,00"
22,29.9964003514,31.3012960084,45,control1,100,84,"56,10","31,80",4,1572,28,"7,1",32,32,"3,10",00:47:18,"25,50",MIL is OFF0 codes,"73,30","1,00"
23,29.9963038919,31.3035971993,45,control1,100,83,"55,70","32,20",4,1570,29,"7,48",32,32,"1,60",00:47:22,"25,90",,"72,90","1,00"
24,29.9962074324,31.3058983902,46,control1,100,83,"55,70","31,40",4,1589,27,"7,47",32,,"3,10",00:47:26,"25,90",,"73,30","1,00"
25,29.996110973,31.3081995811,45,control1,100,83,"55,70","32,20",4,1628,28,"7,6",32,35,"-2,30",00:47:30,"26,30",MIL is OFF0 codes,"73,70","1,00"
26,29.9960145135,31.310500772,44,control1,100,83,"55,70","22,40",4,1704,20,"4,37",32,36,"0,00",00:47:34,"22,00",MIL is OFF0 codes,"74,90","1,00"
27,29.9959180541,31.3128019628,43,control1,100,82,"55,70","20,00",4,1204,19,"3,26",33,37,"6,20",00:47:38,"19,20",MIL is OFF0 codes,"58,80","1,00"
28,29.9958215946,31.3151031537,38,control1,100,82,"55,70","20,80",4,1246,21,"3,38",33,,"16,40",00:47:42,"20,00",MIL is OFF0 codes,"60,00","1,00"
29,29.9957251351,31.3174043446,37,control1,100,82,"55,70","18,80",4,1256,20,"3,59",33,36,"23,40",00:47:46,"20,40",MIL is OFF0 codes,"60,00","1,00"
30,29.9956286757,31.3197055355,37,control1,100,82,"55,30","20,40",4,1207,20,"3,51",33,34,"11,70",00:47:50,"20,00",MIL is OFF0 codes,"59,20","1,00"
31,29.9955322162,31.3220067264,37,control1,100,81,"55,30","22,00",4,1108,35,"3,57",33,32,"5,50",00:47:54,"19,20",MIL is OFF0 codes,"56,90","1,00"
32,29.9954357568,31.3243079172,37,control1,100,81,"55,30","48,20",4,1064,43,"7,58",32,,"6,20",00:47:58,"26,30",MIL is OFF0 codes,"64,30","1,00"
33,29.9953392973,31.3266091081,36,control1,100,81,"55,30","50,20",4,1078,44,"7,71",32,33,"3,90",00:48:02,"26,70",MIL is OFF0 codes,"64,30","1,00"
34,29.9952428378,31.328910299,36,control1,100,81,"55,30","49,40",4,1092,33,"7,81",32,32,"-2,30",00:48:06,"26,70",MIL is OFF0 codes,"64,70","1,00"
35,29.9951463784,31.3312114899,38,control1,100,81,"55,30","18,00",4,1058,21,"3,08",33,28,"0,00",00:48:10,"18,40",MIL is OFF0 codes,"65,90","1,00"
36,29.9950499189,31.3335126807,39,control1,100,81,"55,30","23,50",4,924,33,"3,46",34,24,"7,80",00:48:15,"18,80",MIL is OFF0 codes,"65,90","1,00"
37,29.9949534595,31.3358138716,40,control1,100,81,"54,90","60,40",4,1212,48,"10,3",33,28,"-1,60",00:48:19,"29,00",MIL is OFF0 codes,"61,20","1,00"
38,29.994857,31.3381150625,40,control1,100,80,"55,30","58,40",4,1443,21,"12,06",32,33,"-7,80",00:48:23,"30,20",MIL is OFF0 codes,"67,50","1,00"
39,29.9947605405,31.3404162534,41,control1,100,80,"55,30","38,80",4,1097,40,"6,32",32,34,"3,10",00:48:27,"24,70",MIL is OFF0 codes,"67,10","1,00"
40,29.9946640811,31.3427174443,41,control1,100,80,"55,30","44,30",4,1146,37,"7,28",32,,"3,90",00:48:31,"25,90",MIL is OFF0 codes,"65,50","1,00"
41,29.9945676216,31.3450186351,43,control1,100,80,"55,30","44,70",4,1134,38,"7,18",32,34,"3,90",00:48:35,"25,90",MIL is OFF0 codes,"65,50","1,00"
42,29.9944711622,31.347319826,43,control1,100,80,"55,30","44,70",4,1124,39,"7,12",32,34,"-2,30",00:48:39,"25,50",MIL is OFF0 codes,"65,50","1,00"
43,29.9943747027,31.3496210169,45,control1,100,80,"55,30","41,20",4,1115,19,"6,35",33,33,"3,10",00:48:43,,MIL is OFF0 codes,"66,30","1,00"
44,29.9942782432,31.3519222078,46,control1,100,81,"55,30","19,60",4,1021,21,"2,77",33,31,"3,10",00:48:47,"18,40",MIL is OFF0 codes,"65,50","1,00"
45,29.9941817838,31.3542233986,45,control1,100,81,"55,30","43,10",4,1251,57,"7,39",33,27,"6,20",00:48:51,"26,30",MIL is OFF0 codes,"67,50","1,00"
46,29.9940853243,31.3565245895,42,control1,100,81,"55,70","69,00",4,1380,62,"14,05",32,29,,00:48:55,"31,00",MIL is OFF0 codes,"65,10","1,00"
47,29.9939888649,31.3588257804,43,control1,100,81,"56,50","76,10",4,1481,64,"16,44",32,30,"-10,20",00:48:59,"32,20",MIL is OFF0 codes,"64,70","1,00"
48,29.9938924054,31.3611269713,46,control1,100,81,"57,60","76,90",4,1484,63,"17,29",32,30,"-3,90",00:49:03,"32,50",MIL is OFF0 codes,"65,10","1,00"
49,29.9937959459,31.3634281622,49,control1,100,81,"58,40","78,00",4,1523,65,"17,1",32,,"-3,10",00:49:07,"32,50",MIL is OFF0 codes,"65,10","1,00"
50,29.9936994865,31.365729353,50,control1,100,81,"58,80","77,60",4,1561,59,"17,64",32,31,"-3,10",00:49:11,"32,50",MIL is OFF0 codes,"65,50","1,00"
51,29.993603027,31.3680305439,52,control1,100,81,"59,20","68,20",4,1540,20,"13,69",32,25,"-0,80",00:49:15,"29,80",MIL is OFF0 codes,"66,70","1,00"
52,29.9935065676,31.3703317348,54,control1,100,82,"59,20","18,80",4,1091,53,"3,25",33,19,"-2,30",00:49:19,"18,80",MIL is OFF0 codes,"59,60","1,00"
53,29.9934101081,31.3726329257,54,control1,100,82,"58,80","74,10",4,980,55,"10,73",32,27,"4,70",00:49:23,"29,80",MIL is OFF0 codes,"58,00","1,00"
54,29.9933136486,31.3749341166,54,control1,100,82,"58,80","48,60",4,1414,27,"8,62",33,31,"7,80",00:49:27,"25,90",MIL is OFF0 codes,"66,70","1,00"
55,29.9932171892,31.3772353074,51,control1,100,82,"58,40","19,60",4,1060,21,"3,17",33,34,"7,80",00:49:31,"18,80",MIL is OFF0 codes,"58,40","1,00"
56,29.9931207297,31.3795364983,50,control1,100,82,"58,00","22,70",4,1156,20,"3,58",33,37,"7,00",00:49:35,"19,60",MIL is OFF0 codes,"56,90","1,00"
57,29.9930242703,31.3818376892,46,control1,100,82,"57,30","19,20",4,1245,20,"3,54",33,39,"14,10",00:49:39,"20,40",MIL is OFF0 codes,"59,60","1,00"
